bullno,breed,price,frame,heightyear,fatreebody,pcntfree,backfat,finalht,finalwt
1,1,2200,7,51,1128,70.9,0.25,54.8,1720
2,1,2250,7,51.9,1108,72.1,0.25,55.3,1575
3,1,1625,6,49.9,1011,71.6,0.15,53.1,1410
4,1,4600,8,53.1,993,68.9,0.35,56.4,1595
5,1,2150,7,51.2,996,68.6,0.25,55,1488
6,1,1225,6,49.2,985,71.4,0.15,51.4,1500
7,1,2250,7,51,959,72.1,0.2,54,1522
8,1,4000,7,51.5,1060,69.3,0.3,55.6,1765
9,1,1600,6,50.1,979,71.2,0.25,51.5,1365
10,1,1525,6,49.6,1083,75.8,0.3,54.6,1640
11,1,1850,6,50.6,1036,69.2,0.15,54.8,1570
12,1,2850,7,51.1,870,70.9,0.15,52.9,1450
13,1,2650,7,51.1,998,65.5,0.4,54.6,1505
14,1,1550,6,50.2,973,69.5,0.4,53,1530
15,1,2000,6,49,893,73.9,0.2,51.9,1470
16,1,2300,6,49.6,975,68.2,0.5,52.9,1842
17,1,1900,6,49.1,997,67.9,0.3,54,1500
18,1,1400,5,48.4,946,68.6,0.2,51.2,1480
19,1,1650,6,50.9,928,67.2,0.25,54.1,1480
20,1,1500,6,49.5,963,69.4,0.35,53.1,1670
21,1,1375,6,49.2,911,67.4,0.2,53.4,1490
22,1,1500,5,48.1,1003,70.5,0.25,54.7,1748
23,1,2400,7,51.1,915,64.9,0.25,54.6,1725
24,1,1425,5,48.9,924,72.7,0.15,52.1,1374
25,1,1525,6,49.4,959,68.4,0.15,52.6,1565
26,1,1800,5,47.7,944,66.5,0.4,53.3,1556
27,1,2500,6,50.6,897,67.2,0.3,54.9,1688
28,1,1600,5,48.9,974,71,0.3,54.2,1722
29,1,1300,6,49.9,872,70.7,0.2,53.3,1325
30,1,1400,5,48.4,841,71.3,0.15,51.5,1365
31,1,1300,5,48.6,920,71.4,0.15,52.9,1450
32,1,1400,5,47.6,974,69.7,0.15,51.9,1570
33,5,2000,6,50.5,1002,68.8,0.2,54.4,1735
34,5,1300,6,50.2,998,68.7,0.15,52.9,1540
35,5,1300,6,49,1015,69.8,0.3,51.9,1550
36,5,1300,5,48.7,1056,72.9,0.15,52.6,1525
37,5,1500,6,49.6,984,71.4,0.15,53.4,1650
38,5,1225,5,48.9,934,66,0.2,52.1,1430
39,5,2750,6,49.7,929,66.9,0.25,53.3,1688
40,5,1500,6,49.9,919,67.1,0.2,54.3,1425
41,5,1325,5,47.8,931,67.1,0.25,51.5,1520
42,5,1800,6,49.6,952,69.4,0.25,52.3,1512
43,5,1375,7,51,1002,72.1,0.25,51.9,1410
44,5,975,5,48.6,936,65.3,0.35,51.4,1550
45,5,1325,5,48.3,870,65.6,0.3,52.5,1588
46,5,1850,6,50.1,853,67.9,0.15,52.9,1390
47,5,1025,5,48.8,843,67.3,0.2,50.4,1390
48,5,1000,5,47.7,913,68.2,0.15,49.4,1345
49,5,975,5,47.2,844,70.6,0.15,50.1,1285
50,8,1750,8,54,1252,76.5,0.15,56.9,1648
51,8,1450,8,53.3,1383,81.4,0.2,59.6,1904
52,8,1200,7,52.8,1076,74,0.15,55.5,1615
53,8,2000,8,53.5,1175,74.5,0.1,57.4,1686
54,8,1450,8,53.2,1027,71.2,0.1,56.9,1696
55,8,1800,7,52.3,1116,71.1,0.1,57.5,1620
56,8,1525,7,51.8,1095,71.1,0.15,54.6,1712
57,8,1925,7,52.7,1141,78.5,0.15,55.6,1572
58,8,3450,8,54.8,1039,70.6,0.1,58.7,1600
59,8,1650,7,52.8,981,74.1,0.1,56.9,1750
60,8,1900,7,52.4,933,71.5,0.1,56.2,1640
61,8,1850,7,51.2,1083,74.5,0.2,55.9,1752
62,8,1550,7,52.3,1143,77.7,0.1,56.1,1785
63,8,1825,8,53,1055,76.8,0.1,56.7,1526
64,8,1475,7,52.9,1037,75,0.1,55.5,1406
65,8,2200,7,51.8,1076,74.5,0.15,55.8,1475
66,8,1850,8,53.1,964,70.8,0.1,55.5,1535
67,8,1550,7,51.2,1057,74.8,0.1,55.5,1520
68,8,1250,6,50.8,1040,74.5,0.1,55.8,1516
69,8,1350,7,52.7,1079,75.5,0.15,56.1,1595
70,8,1725,7,51.4,1034,71.2,0.1,56,1655
71,8,1750,6,50.7,1012,71.6,0.1,54.3,1480
72,8,1450,7,51.4,997,73.4,0.1,55.2,1454
73,8,1200,6,49.8,991,70.8,0.15,54.6,1475
74,8,1425,6,50,928,70.8,0.1,53.9,1375
75,8,1250,6,50.1,990,71,0.1,54.9,1564
76,8,1500,7,51.7,992,70.6,0.15,55.1,1458
